Evaluation Type,Overall Score,incorrect Percent Correct,incorrect Total,incorrect Correct,somewhat correct Percent Correct,somewhat correct Total,somewhat correct Correct,almost perfect Percent Correct,almost perfect Total,almost perfect Correct,perfect Percent Correct,perfect Total,perfect Correct
Base Evaluation,56.04,38.23529411764706,34,13,80.76923076923077,26,21,77.27272727272727,22,17,0.0,9,0
Optimized Evaluation,35.16,32.35294117647059,34,11,23.076923076923077,26,6,54.54545454545454,22,12,33.33333333333333,9,3
